mon	feature_complex	feature	feature_val
bulbasaur	move_sleeppowder	move	sleeppowder
bulbasaur	move_gigadrain	move	gigadrain
bulbasaur	move_hiddenpowerfire	move	hiddenpowerfire
bulbasaur	move_hiddenpowerice	move	hiddenpowerice
bulbasaur	move_sludgebomb	move	sludgebomb
bulbasaur	move_powerwhip	move	powerwhip
bulbasaur	move_leechseed	move	leechseed
bulbasaur	move_synthesis	move	synthesis
bulbasaur	move_sleeppowder	move	sleeppowder
bulbasaur	move_gigadrain	move	gigadrain
bulbasaur	move_hiddenpowerfire	move	hiddenpowerfire
bulbasaur	move_hiddenpowerice	move	hiddenpowerice
bulbasaur	move_sludgebomb	move	sludgebomb
bulbasaur	move_powerwhip	move	powerwhip
bulbasaur	move_protect	move	protect
ivysaur	move_sleeppowder	move	sleeppowder
ivysaur	move_gigadrain	move	gigadrain
ivysaur	move_hiddenpowerfire	move	hiddenpowerfire
ivysaur	move_hiddenpowerice	move	hiddenpowerice
ivysaur	move_sludgebomb	move	sludgebomb
ivysaur	move_powerwhip	move	powerwhip
ivysaur	move_leechseed	move	leechseed
ivysaur	move_synthesis	move	synthesis
ivysaur	move_sleeppowder	move	sleeppowder
ivysaur	move_gigadrain	move	gigadrain
ivysaur	move_hiddenpowerfire	move	hiddenpowerfire
ivysaur	move_hiddenpowerice	move	hiddenpowerice
ivysaur	move_sludgebomb	move	sludgebomb
ivysaur	move_powerwhip	move	powerwhip
ivysaur	move_protect	move	protect
venusaur	move_sunnyday	move	sunnyday
venusaur	move_sleeppowder	move	sleeppowder
venusaur	move_gigadrain	move	gigadrain
venusaur	move_hiddenpowerfire	move	hiddenpowerfire
venusaur	move_sludgebomb	move	sludgebomb
venusaur	move_leechseed	move	leechseed
venusaur	move_substitute	move	substitute
venusaur	move_sleeppowder	move	sleeppowder
venusaur	move_gigadrain	move	gigadrain
venusaur	move_hiddenpowerfire	move	hiddenpowerfire
venusaur	move_hiddenpowerice	move	hiddenpowerice
venusaur	move_sludgebomb	move	sludgebomb
venusaur	move_powerwhip	move	powerwhip
venusaur	move_protect	move	protect
venusaurmega	move_sleeppowder	move	sleeppowder
venusaurmega	move_gigadrain	move	gigadrain
venusaurmega	move_hiddenpowerfire	move	hiddenpowerfire
venusaurmega	move_sludgebomb	move	sludgebomb
venusaurmega	move_leechseed	move	leechseed
venusaurmega	move_synthesis	move	synthesis
venusaurmega	move_earthquake	move	earthquake
venusaurmega	move_knockoff	move	knockoff
venusaurmega	move_sleeppowder	move	sleeppowder
venusaurmega	move_gigadrain	move	gigadrain
venusaurmega	move_hiddenpowerfire	move	hiddenpowerfire
venusaurmega	move_hiddenpowerice	move	hiddenpowerice
venusaurmega	move_sludgebomb	move	sludgebomb
venusaurmega	move_powerwhip	move	powerwhip
venusaurmega	move_protect	move	protect
charmander	move_flamethrower	move	flamethrower
charmander	move_overheat	move	overheat
charmander	move_dragonpulse	move	dragonpulse
charmander	move_hiddenpowergrass	move	hiddenpowergrass
charmander	move_fireblast	move	fireblast
charmander	move_heatwave	move	heatwave
charmander	move_dragonpulse	move	dragonpulse
charmander	move_hiddenpowergrass	move	hiddenpowergrass
charmander	move_fireblast	move	fireblast
charmander	move_protect	move	protect
charmeleon	move_flamethrower	move	flamethrower
charmeleon	move_overheat	move	overheat
charmeleon	move_dragonpulse	move	dragonpulse
charmeleon	move_hiddenpowergrass	move	hiddenpowergrass
charmeleon	move_fireblast	move	fireblast
charmeleon	move_dragondance	move	dragondance
charmeleon	move_flareblitz	move	flareblitz
charmeleon	move_shadowclaw	move	shadowclaw
charmeleon	move_dragonclaw	move	dragonclaw
charmeleon	move_heatwave	move	heatwave
charmeleon	move_dragonpulse	move	dragonpulse
charmeleon	move_hiddenpowergrass	move	hiddenpowergrass
charmeleon	move_fireblast	move	fireblast
charmeleon	move_protect	move	protect
charizard	move_fireblast	move	fireblast
charizard	move_airslash	move	airslash
charizard	move_focusblast	move	focusblast
charizard	move_roost	move	roost
charizard	move_swordsdance	move	swordsdance
charizard	move_flamecharge	move	flamecharge
charizard	move_acrobatics	move	acrobatics
charizard	move_earthquake	move	earthquake
charizard	move_willowisp	move	willowisp
charizard	move_heatwave	move	heatwave
charizard	move_fireblast	move	fireblast
charizard	move_airslash	move	airslash
charizard	move_overheat	move	overheat
charizard	move_dragonpulse	move	dragonpulse
charizard	move_roost	move	roost
charizard	move_tailwind	move	tailwind
charizard	move_protect	move	protect
charizardmegax	move_dragondance	move	dragondance
charizardmegax	move_flareblitz	move	flareblitz
charizardmegax	move_dragonclaw	move	dragonclaw
charizardmegax	move_earthquake	move	earthquake
charizardmegax	move_roost	move	roost
charizardmegax	move_willowisp	move	willowisp
charizardmegax	move_dragondance	move	dragondance
charizardmegax	move_flareblitz	move	flareblitz
charizardmegax	move_dragonclaw	move	dragonclaw
charizardmegax	move_earthquake	move	earthquake
charizardmegax	move_rockslide	move	rockslide
charizardmegax	move_roost	move	roost
charizardmegax	move_substitute	move	substitute
charizardmegay	move_fireblast	move	fireblast
charizardmegay	move_airslash	move	airslash
charizardmegay	move_roost	move	roost
charizardmegay	move_solarbeam	move	solarbeam
charizardmegay	move_focusblast	move	focusblast
charizardmegay	move_dragonpulse	move	dragonpulse
charizardmegay	move_heatwave	move	heatwave
charizardmegay	move_fireblast	move	fireblast
charizardmegay	move_airslash	move	airslash
charizardmegay	move_roost	move	roost
charizardmegay	move_solarbeam	move	solarbeam
charizardmegay	move_focusblast	move	focusblast
charizardmegay	move_protect	move	protect
squirtle	move_icebeam	move	icebeam
squirtle	move_hydropump	move	hydropump
squirtle	move_rapidspin	move	rapidspin
squirtle	move_scald	move	scald
squirtle	move_aquajet	move	aquajet
squirtle	move_toxic	move	toxic
squirtle	move_muddywater	move	muddywater
squirtle	move_icebeam	move	icebeam
squirtle	move_hydropump	move	hydropump
squirtle	move_fakeout	move	fakeout
squirtle	move_scald	move	scald
squirtle	move_followme	move	followme
squirtle	move_icywind	move	icywind
squirtle	move_protect	move	protect
wartortle	move_icebeam	move	icebeam
wartortle	move_hydropump	move	hydropump
wartortle	move_rapidspin	move	rapidspin
wartortle	move_scald	move	scald
wartortle	move_aquajet	move	aquajet
wartortle	move_toxic	move	toxic
wartortle	move_muddywater	move	muddywater
wartortle	move_icebeam	move	icebeam
wartortle	move_hydropump	move	hydropump
wartortle	move_fakeout	move	fakeout
wartortle	move_scald	move	scald
wartortle	move_followme	move	followme
wartortle	move_icywind	move	icywind
wartortle	move_protect	move	protect
blastoise	move_icebeam	move	icebeam
blastoise	move_rapidspin	move	rapidspin
blastoise	move_scald	move	scald
blastoise	move_toxic	move	toxic
blastoise	move_dragontail	move	dragontail
blastoise	move_roar	move	roar
blastoise	move_muddywater	move	muddywater
blastoise	move_icebeam	move	icebeam
blastoise	move_hydropump	move	hydropump
blastoise	move_fakeout	move	fakeout
blastoise	move_scald	move	scald
blastoise	move_followme	move	followme
blastoise	move_icywind	move	icywind
blastoise	move_protect	move	protect
blastoise	move_waterspout	move	waterspout
blastoisemega	move_icebeam	move	icebeam
blastoisemega	move_hydropump	move	hydropump
blastoisemega	move_rapidspin	move	rapidspin
blastoisemega	move_scald	move	scald
blastoisemega	move_toxic	move	toxic
blastoisemega	move_dragontail	move	dragontail
blastoisemega	move_darkpulse	move	darkpulse
blastoisemega	move_aurasphere	move	aurasphere
blastoisemega	move_muddywater	move	muddywater
blastoisemega	move_icebeam	move	icebeam
blastoisemega	move_hydropump	move	hydropump
blastoisemega	move_fakeout	move	fakeout
blastoisemega	move_scald	move	scald
blastoisemega	move_darkpulse	move	darkpulse
blastoisemega	move_aurasphere	move	aurasphere
blastoisemega	move_followme	move	followme
blastoisemega	move_icywind	move	icywind
blastoisemega	move_protect	move	protect
caterpie	move_bugbite	move	bugbite
caterpie	move_snore	move	snore
caterpie	move_tackle	move	tackle
caterpie	move_electroweb	move	electroweb
metapod	move_snore	move	snore
metapod	move_bugbite	move	bugbite
metapod	move_tackle	move	tackle
metapod	move_electroweb	move	electroweb
butterfree	move_sleeppowder	move	sleeppowder
butterfree	move_quiverdance	move	quiverdance
butterfree	move_bugbuzz	move	bugbuzz
butterfree	move_airslash	move	airslash
butterfree	move_gigadrain	move	gigadrain
butterfree	move_substitute	move	substitute
butterfree	move_quiverdance	move	quiverdance
butterfree	move_bugbuzz	move	bugbuzz
butterfree	move_substitute	move	substitute
butterfree	move_sleeppowder	move	sleeppowder
butterfree	move_airslash	move	airslash
butterfree	move_shadowball	move	shadowball
butterfree	move_protect	move	protect
weedle	move_bugbite	move	bugbite
weedle	move_stringshot	move	stringshot
weedle	move_poisonsting	move	poisonsting
weedle	move_electroweb	move	electroweb
kakuna	move_electroweb	move	electroweb
kakuna	move_bugbite	move	bugbite
kakuna	move_irondefense	move	irondefense
kakuna	move_poisonsting	move	poisonsting
beedrill	move_toxicspikes	move	toxicspikes
beedrill	move_tailwind	move	tailwind
beedrill	move_uturn	move	uturn
beedrill	move_endeavor	move	endeavor
beedrill	move_poisonjab	move	poisonjab
beedrill	move_knockoff	move	knockoff
beedrill	move_xscissor	move	xscissor
beedrill	move_uturn	move	uturn
beedrill	move_poisonjab	move	poisonjab
beedrill	move_drillrun	move	drillrun
beedrill	move_brickbreak	move	brickbreak
beedrill	move_knockoff	move	knockoff
beedrill	move_protect	move	protect
beedrill	move_stringshot	move	stringshot
beedrillmega	move_xscissor	move	xscissor
beedrillmega	move_swordsdance	move	swordsdance
beedrillmega	move_uturn	move	uturn
beedrillmega	move_poisonjab	move	poisonjab
beedrillmega	move_drillrun	move	drillrun
beedrillmega	move_knockoff	move	knockoff
beedrillmega	move_xscissor	move	xscissor
beedrillmega	move_uturn	move	uturn
beedrillmega	move_substitute	move	substitute
beedrillmega	move_poisonjab	move	poisonjab
beedrillmega	move_drillrun	move	drillrun
beedrillmega	move_knockoff	move	knockoff
beedrillmega	move_protect	move	protect
pidgey	move_roost	move	roost
pidgey	move_bravebird	move	bravebird
pidgey	move_heatwave	move	heatwave
pidgey	move_return	move	return
pidgey	move_workup	move	workup
pidgey	move_uturn	move	uturn
pidgey	move_thief	move	thief
pidgey	move_bravebird	move	bravebird
pidgey	move_heatwave	move	heatwave
pidgey	move_return	move	return
pidgey	move_uturn	move	uturn
pidgey	move_tailwind	move	tailwind
pidgey	move_protect	move	protect
pidgeotto	move_roost	move	roost
pidgeotto	move_bravebird	move	bravebird
pidgeotto	move_heatwave	move	heatwave
pidgeotto	move_return	move	return
pidgeotto	move_workup	move	workup
pidgeotto	move_uturn	move	uturn
pidgeotto	move_thief	move	thief
pidgeotto	move_bravebird	move	bravebird
pidgeotto	move_heatwave	move	heatwave
pidgeotto	move_return	move	return
pidgeotto	move_uturn	move	uturn
pidgeotto	move_tailwind	move	tailwind
pidgeotto	move_protect	move	protect
pidgeot	move_roost	move	roost
pidgeot	move_bravebird	move	bravebird
pidgeot	move_heatwave	move	heatwave
pidgeot	move_return	move	return
pidgeot	move_doubleedge	move	doubleedge
pidgeot	move_uturn	move	uturn
pidgeot	move_hurricane	move	hurricane
pidgeot	move_bravebird	move	bravebird
pidgeot	move_heatwave	move	heatwave
pidgeot	move_return	move	return
pidgeot	move_doubleedge	move	doubleedge
pidgeot	move_uturn	move	uturn
pidgeot	move_tailwind	move	tailwind
pidgeot	move_protect	move	protect
pidgeotmega	move_roost	move	roost
pidgeotmega	move_heatwave	move	heatwave
pidgeotmega	move_uturn	move	uturn
pidgeotmega	move_hurricane	move	hurricane
pidgeotmega	move_defog	move	defog
pidgeotmega	move_tailwind	move	tailwind
pidgeotmega	move_heatwave	move	heatwave
pidgeotmega	move_uturn	move	uturn
pidgeotmega	move_hurricane	move	hurricane
pidgeotmega	move_protect	move	protect
rattata	move_facade	move	facade
rattata	move_flamewheel	move	flamewheel
rattata	move_suckerpunch	move	suckerpunch
rattata	move_uturn	move	uturn
rattata	move_wildcharge	move	wildcharge
rattata	move_thunderwave	move	thunderwave
rattata	move_crunch	move	crunch
rattata	move_revenge	move	revenge
rattata	move_facade	move	facade
rattata	move_flamewheel	move	flamewheel
rattata	move_suckerpunch	move	suckerpunch
rattata	move_uturn	move	uturn
rattata	move_wildcharge	move	wildcharge
rattata	move_superfang	move	superfang
rattata	move_crunch	move	crunch
rattata	move_protect	move	protect
raticate	move_protect	move	protect
raticate	move_facade	move	facade
raticate	move_flamewheel	move	flamewheel
raticate	move_suckerpunch	move	suckerpunch
raticate	move_uturn	move	uturn
raticate	move_swordsdance	move	swordsdance
raticate	move_facade	move	facade
raticate	move_flamewheel	move	flamewheel
raticate	move_suckerpunch	move	suckerpunch
raticate	move_uturn	move	uturn
raticate	move_crunch	move	crunch
raticate	move_protect	move	protect
raticatealola	move_swordsdance	move	swordsdance
raticatealola	move_return	move	return
raticatealola	move_suckerpunch	move	suckerpunch
raticatealola	move_crunch	move	crunch
raticatealola	move_doubleedge	move	doubleedge
spearow	move_return	move	return
spearow	move_drillpeck	move	drillpeck
spearow	move_doubleedge	move	doubleedge
spearow	move_uturn	move	uturn
spearow	move_quickattack	move	quickattack
spearow	move_pursuit	move	pursuit
spearow	move_drillrun	move	drillrun
spearow	move_featherdance	move	featherdance
spearow	move_return	move	return
spearow	move_drillpeck	move	drillpeck
spearow	move_doubleedge	move	doubleedge
spearow	move_uturn	move	uturn
spearow	move_quickattack	move	quickattack
spearow	move_drillrun	move	drillrun
spearow	move_protect	move	protect
fearow	move_return	move	return
fearow	move_drillpeck	move	drillpeck
fearow	move_doubleedge	move	doubleedge
fearow	move_uturn	move	uturn
fearow	move_pursuit	move	pursuit
fearow	move_drillrun	move	drillrun
fearow	move_return	move	return
fearow	move_drillpeck	move	drillpeck
fearow	move_doubleedge	move	doubleedge
fearow	move_uturn	move	uturn
fearow	move_quickattack	move	quickattack
fearow	move_drillrun	move	drillrun
fearow	move_protect	move	protect
ekans	move_coil	move	coil
ekans	move_gunkshot	move	gunkshot
ekans	move_glare	move	glare
ekans	move_suckerpunch	move	suckerpunch
ekans	move_earthquake	move	earthquake
ekans	move_rest	move	rest
ekans	move_gunkshot	move	gunkshot
ekans	move_seedbomb	move	seedbomb
ekans	move_suckerpunch	move	suckerpunch
ekans	move_aquatail	move	aquatail
ekans	move_earthquake	move	earthquake
ekans	move_rest	move	rest
ekans	move_rockslide	move	rockslide
ekans	move_protect	move	protect
arbok	move_coil	move	coil
arbok	move_gunkshot	move	gunkshot
