mon	feature	feature_val
bulbasaur	types	Grass
bulbasaur	types	Poison
bulbasaur	abilities	Overgrow
bulbasaur	abilities	Chlorophyll
bulbasaur	eggGroups	Monster
bulbasaur	eggGroups	Grass
ivysaur	types	Grass
ivysaur	types	Poison
ivysaur	abilities	Overgrow
ivysaur	abilities	Chlorophyll
ivysaur	eggGroups	Monster
ivysaur	eggGroups	Grass
venusaur	types	Grass
venusaur	types	Poison
venusaur	abilities	Overgrow
venusaur	abilities	Chlorophyll
venusaur	eggGroups	Monster
venusaur	eggGroups	Grass
venusaurmega	types	Grass
venusaurmega	types	Poison
venusaurmega	abilities	Thick Fat
venusaurmega	eggGroups	Monster
venusaurmega	eggGroups	Grass
charmander	types	Fire
charmander	abilities	Blaze
charmander	abilities	Solar Power
charmander	eggGroups	Monster
charmander	eggGroups	Dragon
charmeleon	types	Fire
charmeleon	abilities	Blaze
charmeleon	abilities	Solar Power
charmeleon	eggGroups	Monster
charmeleon	eggGroups	Dragon
charizard	types	Fire
charizard	types	Flying
charizard	abilities	Blaze
charizard	abilities	Solar Power
charizard	eggGroups	Monster
charizard	eggGroups	Dragon
charizardmegax	types	Fire
charizardmegax	types	Dragon
charizardmegax	abilities	Tough Claws
charizardmegax	eggGroups	Monster
charizardmegax	eggGroups	Dragon
charizardmegay	types	Fire
charizardmegay	types	Flying
charizardmegay	abilities	Drought
charizardmegay	eggGroups	Monster
charizardmegay	eggGroups	Dragon
squirtle	types	Water
squirtle	abilities	Torrent
squirtle	abilities	Rain Dish
squirtle	eggGroups	Monster
squirtle	eggGroups	Water 1
wartortle	types	Water
wartortle	abilities	Torrent
wartortle	abilities	Rain Dish
wartortle	eggGroups	Monster
wartortle	eggGroups	Water 1
blastoise	types	Water
blastoise	abilities	Torrent
blastoise	abilities	Rain Dish
blastoise	eggGroups	Monster
blastoise	eggGroups	Water 1
blastoisemega	types	Water
blastoisemega	abilities	Mega Launcher
blastoisemega	eggGroups	Monster
blastoisemega	eggGroups	Water 1
caterpie	types	Bug
caterpie	abilities	Shield Dust
